Actual Time,Calculated Time,,,RMSE
11,9.912804241,0.009768551,,0.243622901
11,9.920566595,0.009629558,,
11.13333333,9.912804241,0.012018378,,
14.91666667,16.94953536,0.018572702,,
15.46666667,16.97414499,0.009499674,,
15.66666667,15.47208104,0.000154265,,
15.83333333,17.12402153,0.006645046,,
16.48333333,17.12402153,0.001510787,,
17.3,17.04684988,0.000214123,,
17.35,17.04684988,0.000305293,,
17.4,17.02852048,0.000455797,,
17.83333333,15.10190328,0.023459303,,
18,17.15197953,0.002219564,,
18.63333333,17.59014054,0.003134354,,
18.85,18.85910155,2.33135E-07,,
19.05,16.79499702,0.014012134,,
19.28333333,17.86610048,0.005401548,,
19.35,15.62242075,0.037110075,,
19.85,28.61530225,0.194990194,,
19.85,29.52348399,0.237489718,,
20.15,18.57242246,0.006129589,,
20.86666667,18.56362542,0.012181402,,
20.95,19.39900914,0.005480882,,
21.06666667,20.34362635,0.001177968,,
21.26666667,19.38027942,0.007867973,,
21.46666667,19.42661977,0.009031317,,
22.58333333,18.98799431,0.02534566,,
24.3,22.97578385,0.00296965,,
25.43333333,25.33588315,1.46811E-05,,
25.75,25.52686804,7.50878E-05,,
25.95,22.59326249,0.016732469,,
26.25,25.42665963,0.000983785,,
26.76666667,25.67145979,0.001674186,,
27.18333333,22.53130919,0.029287244,,
27.25,23.46989778,0.019243057,,
27.73333333,34.38858784,0.057587098,,
27.83333333,26.75431046,0.001502903,,
28.8,21.81611962,0.058804236,,
29.36666667,23.74555601,0.03663827,,
29.46666667,20.84237171,0.085661403,,
30.55,25.5795257,0.026471176,,
31.36666667,29.12245656,0.005119061,,
34.45,25.5795257,0.06630026,,
34.53333333,25.5795257,0.067226193,,
34.8,32.56340732,0.004130621,,
34.98333333,33.42160806,0.001992906,,
35.28333333,20.92661377,0.165566024,,
35.88333333,28.62963238,0.040863328,,
36.53333333,22.21420347,0.153622439,,
37.06666667,22.59326249,0.152466459,,
37.08333333,46.88273152,0.069829878,,
37.48333333,37.42470247,2.44667E-06,,
37.88333333,35.21280525,0.004969331,,
38.31666667,41.39465835,0.006452967,,
38.46666667,41.39465835,0.005793894,,
38.58333333,24.38579205,0.135402533,,
38.85,38.57745753,4.92137E-05,,
39.06666667,38.57745753,0.000156811,,
39.31666667,24.38579205,0.144217219,,
39.86666667,40.36214124,0.000154462,,
39.96666667,37.98040895,0.002469877,,
40.91666667,41.39465835,0.000136471,,
41.25,39.46695315,0.001868433,,
41.51666667,28.12025986,0.10411941,,
41.53333333,27.60332806,0.112488723,,
43.05,40.15299168,0.004528487,,
44.71666667,36.77062663,0.031576403,,
46.15,50.19552244,0.007684327,,
47.03333333,32.81441458,0.09139483,,
48.18333333,32.81441458,0.101740284,,
48.9,51.04498045,0.001924106,,
49.08333333,38.74864272,0.044332974,,
49.61666667,34.44197781,0.093537212,,
50.68333333,48.03339391,0.002733641,,
52.41666667,44.06861114,0.025364824,,
52.66666667,28.37380809,0.212757843,,
53.41666667,38.74864272,0.075403179,,
55.13333333,69.90415495,0.071776257,,
58.55,34.46674612,0.169190716,,
58.71666667,28.37380809,0.267048535,,
58.78333333,69.90415495,0.035790299,,
59.65,28.37380809,0.274920321,,
62.5,50.16225568,0.038968303,,
62.93333333,66.20089585,0.002695792,,
64.63333333,46.86219633,0.075599221,,
64.75,66.20089585,0.000502103,,
65.6,66.20089585,8.39056E-05,,
67.11666667,45.80753697,0.100802352,,
69.3,47.90463001,0.095317608,,
72.83333333,57.67461201,0.043317638,,
79.13333333,66.448756,0.025694081,,
81.93333333,82.38563741,3.04747E-05,,
85.2,39.13696035,0.292298103,,
88.53333333,65.80167223,0.065924784,,
89.93333333,29.85173083,0.446315155,,
92.31666667,29.665993,0.46056535,,
94.11666667,72.41252355,0.053180475,,
109.4333333,51.17880323,0.283374098,,
110.7333333,73.91254432,0.110567995,,
113.1833333,78.96154807,0.09141982,,
